episode,reward,steps,actor_loss,critic_loss,entropy,moving_avg_100,elapsed_s
94,-229.59,87,-0.01386,38.42207,1.38627,-186.24,25.8
95,-356.01,87,-0.01386,76.29899,1.38626,-188.03,26.5
96,-158.24,76,-0.01386,19.70484,1.38628,-187.72,27.1
97,-336.34,125,-0.01386,60.12033,1.38624,-189.25,27.8
98,-320.57,76,-0.01386,103.91486,1.38602,-190.59,28.2
99,-20.06,135,-0.01386,268.94911,1.38616,-188.87,29.0
100,-420.18,103,-0.01386,81.29148,1.38581,-191.18,29.6
101,-36.69,99,-0.01386,250.22376,1.3861,-189.53,30.2
102,-145.93,64,-0.01386,13.97844,1.38586,-187.12,30.6
103,-243.3,99,-0.01386,8.63755,1.38625,-187.3,31.2
104,-229.42,86,-0.01386,393.46606,1.38626,-188.32,31.7
105,-122.11,63,-0.01386,40.48148,1.38626,-188.73,32.1
106,-227.79,77,-0.01386,15.88533,1.38627,-188.5,32.5
107,-273.59,92,-0.01386,25.58741,1.38628,-189.57,33.0
108,-258.71,108,-0.01386,16.34232,1.38629,-191.27,33.7
109,-174.75,78,-0.01386,19.06354,1.38628,-189.04,34.1
110,-472.98,104,-0.01386,95.62262,1.38628,-192.53,34.6
111,-396.48,96,-0.01386,74.95114,1.38626,-194.78,35.2
112,-106.66,85,-0.01386,42.07854,1.38625,-195.0,35.8
113,-4.18,71,-0.01386,431.02746,1.3861,-191.7,36.2
114,-53.37,121,-0.01386,674.55339,1.38626,-189.69,36.7
115,-293.09,115,-0.01386,29.56503,1.38628,-189.57,37.0
116,-82.7,68,-0.01386,40.34775,1.38622,-187.44,37.2
117,-206.25,82,-0.01386,41.30135,1.38627,-187.87,37.4
118,-97.93,91,-0.01386,23.36439,1.38629,-186.39,37.7
119,-245.6,87,-0.01386,46.82318,1.38628,-185.63,37.9
120,-269.31,130,-0.01386,19.09816,1.38629,-186.52,38.2
121,-28.66,97,-0.01386,433.85126,1.38623,-184.2,38.5
122,-354.33,86,-0.01386,71.97317,1.38623,-186.86,38.7
123,-172.88,90,-0.01386,40.57748,1.38623,-185.62,38.9
124,-97.23,107,-0.01386,34.43259,1.38625,-185.36,39.2
125,-74.53,75,-0.01386,68.21262,1.38623,-183.89,39.3
126,-150.68,59,-0.01386,10.71313,1.38627,-183.02,39.5
127,-418.53,94,-0.01386,481.7486,1.38622,-184.84,39.7
128,-260.23,65,-0.01386,36.62334,1.38614,-186.45,39.9
129,-203.03,89,-0.01386,378.33913,1.38619,-187.3,40.1
130,-120.89,71,-0.01386,22.02263,1.38624,-187.44,40.3
131,-91.27,60,-0.01386,30.65296,1.38628,-183.16,40.4
132,-98.46,79,-0.01386,46.48369,1.38623,-183.37,40.6
133,-397.28,95,-0.01386,82.02836,1.38622,-186.07,40.9
134,-161.49,67,-0.01386,18.34927,1.38619,-184.51,41.1
135,-83.59,73,-0.01386,23.95315,1.38626,-184.02,41.2
136,-344.33,129,-0.01386,33.82133,1.38627,-185.08,41.5
137,-117.13,73,-0.01386,29.92706,1.38617,-185.1,41.7
138,-118.41,100,-0.01386,58.19086,1.38626,-183.96,42.0
139,-182.59,153,-0.01386,21.42061,1.38625,-184.26,42.4
140,-266.94,133,-0.01386,13.04218,1.38627,-186.26,42.7
141,-412.17,94,-0.01386,99.01852,1.38623,-186.99,43.0
142,-217.99,81,-0.01386,63.21102,1.38624,-188.12,43.2
143,-77.48,72,-0.01386,36.62602,1.38617,-186.24,43.4
144,-100.9,80,-0.01386,30.61533,1.38626,-186.25,43.6
145,-156.47,111,-0.01386,10.01378,1.38628,-186.74,43.8
146,-103.87,125,-0.01386,19.59411,1.38622,-187.1,44.1
147,-104.82,75,-0.01386,17.84954,1.38623,-184.3,44.3
148,-109.9,121,-0.01386,46.2483,1.38627,-184.06,44.6
149,-263.72,159,-0.01386,19.33424,1.38626,-183.69,45.0
150,-87.96,71,-0.01386,49.14753,1.38617,-180.62,45.2
151,-155.99,79,-0.01386,10.04842,1.38626,-178.59,45.4
152,-179.58,99,-0.01386,11.0986,1.38626,-180.73,45.6
153,-287.71,103,-0.01386,26.69233,1.38628,-182.66,45.9
154,-208.41,88,-0.01386,16.77947,1.38626,-184.55,46.1
155,14.49,85,-0.01386,647.75213,1.38625,-183.55,46.3
156,-122.71,101,-0.01386,26.40692,1.38628,-183.76,46.6
157,-314.66,114,-0.01386,16.0208,1.38625,-186.12,46.9
158,-392.72,80,-0.01386,93.33297,1.38613,-187.51,47.1
159,-137.14,56,-0.01386,87.23667,1.38623,-185.58,47.2
160,-131.52,72,-0.01386,121.16899,1.38624,-183.93,47.4
161,-469.95,110,-0.01386,67.74386,1.38621,-184.61,47.6
162,-341.4,99,-0.01386,875.06358,1.38613,-186.87,47.9
163,-236.32,101,-0.01386,30.45615,1.38618,-188.34,48.1
164,9.38,64,-0.01386,611.49615,1.38615,-186.28,48.3
165,-88.09,93,-0.01386,48.63373,1.38592,-184.24,48.5
166,-106.92,73,-0.01386,54.99706,1.3861,-184.49,48.7
167,-190.18,72,-0.01386,11.19263,1.38625,-185.51,48.9
168,-309.41,106,-0.01386,27.29328,1.38613,-186.54,49.1
169,-211.68,101,-0.01386,18.01186,1.38588,-186.94,49.4
170,-142.54,89,-0.01386,22.06777,1.38608,-185.42,49.6
171,-91.77,83,-0.01386,47.10462,1.3862,-185.38,49.8
172,-315.73,91,-0.01386,122.46712,1.38613,-187.55,50.0
173,-85.46,103,-0.01386,28.46887,1.38618,-187.54,50.3
174,-159.53,97,-0.01386,8.69404,1.38589,-186.72,50.5
175,-257.81,106,-0.01386,8.77967,1.386,-187.45,50.8
176,-56.03,129,-0.01386,57.50736,1.38626,-186.69,51.1
177,-198.9,127,-0.01386,59.43659,1.38614,-188.48,51.4
178,-74.81,75,-0.01386,29.52035,1.38611,-188.64,51.6
179,7.49,74,-0.01386,560.86086,1.38593,-185.28,51.8
180,-95.62,67,-0.01386,32.26625,1.38622,-185.38,52.0
181,-220.77,84,-0.01386,133.75177,1.38605,-186.08,52.2
182,-385.38,81,-0.01386,97.39193,1.38597,-188.89,52.4
183,-104.53,95,-0.01386,21.86272,1.38627,-189.39,52.7
184,-75.86,70,-0.01386,29.84453,1.38623,-188.3,52.9
185,-118.45,77,-0.01386,19.29013,1.38628,-187.15,53.1
186,-82.75,59,-0.01386,26.68858,1.38625,-186.73,53.3
187,-123.62,107,-0.01386,98.65532,1.38627,-186.73,53.6
188,-174.02,84,-0.01386,9.26653,1.38625,-185.5,53.9
189,-129.31,68,-0.01386,15.57406,1.38621,-185.75,54.1
190,-97.2,100,-0.01386,25.98198,1.38628,-185.17,54.4
191,-94.94,78,-0.01386,18.89233,1.38626,-184.91,54.6
192,-328.93,96,-0.01386,36.20494,1.3862,-186.29,54.9
193,-7.52,77,-0.01386,745.53508,1.38627,-184.34,55.1
194,-188.01,61,-0.01386,14.73143,1.38628,-183.93,55.3
195,-117.98,75,-0.01386,14.05293,1.38628,-181.54,55.5
196,-432.39,82,-0.01386,154.4933,1.38626,-184.29,55.7
197,-232.98,98,-0.01386,16.70815,1.38628,-183.25,56.0
198,-199.37,93,-0.01386,14.11418,1.38624,-182.04,56.2
199,-119.87,118,-0.01386,20.70094,1.38623,-183.04,56.6
200,-32.62,109,-0.01386,385.92594,1.38613,-179.16,56.9
201,-136.87,109,-0.01386,30.8625,1.38623,-180.17,57.1
202,-435.01,130,-0.01386,49.80122,1.38628,-183.06,57.5
203,-190.99,77,-0.01386,8.22374,1.38628,-182.53,57.7
204,-148.85,67,-0.01386,29.76685,1.38628,-181.73,57.9
205,-135.73,105,-0.01386,24.21194,1.38629,-181.86,58.2
206,-61.45,63,-0.01386,36.57213,1.38629,-180.2,58.3
207,-175.36,127,-0.01386,418.63038,1.38629,-179.22,58.7
208,-490.17,97,-0.01386,168.59531,1.38629,-181.53,58.9
209,-59.56,62,-0.01386,41.55679,1.38629,-180.38,59.1
210,-364.5,94,-0.01386,60.79513,1.38629,-179.3,59.3
211,-102.99,108,-0.01386,18.24206,1.38629,-176.36,59.6
212,-118.9,65,-0.01386,9.04547,1.38629,-176.48,59.8
213,-87.34,92,-0.01386,28.81338,1.38629,-177.31,60.0
214,-177.49,118,-0.01386,152.47132,1.38628,-178.56,60.3
215,-245.21,103,-0.01386,19.35868,1.38628,-178.08,60.6
216,-272.97,76,-0.01386,605.95308,1.38626,-179.98,60.8
217,-296.97,131,-0.01386,160.43519,1.38619,-180.89,61.1
218,-98.86,74,-0.01386,21.40587,1.38608,-180.9,61.3
219,-138.63,130,-0.01386,12.22229,1.38622,-179.83,61.6
220,-132.95,109,-0.01386,18.55546,1.38624,-178.46,61.9
221,-176.35,123,-0.01386,16.71301,1.38602,-179.94,62.2
222,-10.47,87,-0.01386,541.93661,1.38596,-176.5,62.4
223,-83.45,70,-0.01386,28.20895,1.38625,-175.61,62.5
224,-137.17,95,-0.01386,16.52208,1.38628,-176.01,62.8
225,-317.44,110,-0.01386,33.91121,1.38626,-178.44,63.0
226,-105.85,68,-0.01386,11.05152,1.38629,-177.99,63.2
227,-97.49,129,-0.01386,17.04257,1.38629,-174.78,63.5
228,-265.1,69,-0.01386,51.94722,1.38629,-174.83,63.7
229,-132.64,72,-0.01386,20.90873,1.38628,-174.12,63.9
230,-312.12,93,-0.01386,143.25499,1.38629,-176.03,64.1
231,-122.21,122,-0.01386,25.63665,1.38629,-176.34,64.4
232,-423.76,94,-0.01386,119.68009,1.38629,-179.6,64.7
233,-113.3,98,-0.01386,14.07202,1.38628,-176.76,64.9
234,-175.41,92,-0.01386,8.6628,1.38629,-176.9,65.1
235,-100.09,90,-0.01386,22.63754,1.38629,-177.06,65.4
236,33.38,122,-0.01386,197.52027,1.38629,-173.28,65.7
237,-347.81,80,-0.01386,132.953,1.38629,-175.59,65.9
238,-149.11,71,-0.01386,18.7191,1.38628,-175.9,66.1
239,-221.99,100,-0.01386,16.64191,1.38628,-176.29,66.3
240,-143.02,99,-0.01386,23.54631,1.38629,-175.05,66.6
241,-71.45,67,-0.01386,49.75659,1.38629,-171.64,66.7
242,-166.85,123,-0.01386,17.42568,1.38629,-171.13,67.0
243,-349.59,103,-0.01386,47.54853,1.38628,-173.85,67.3
244,-128.86,77,-0.01386,11.38117,1.38629,-174.13,67.5
245,-318.28,104,-0.01386,29.01175,1.38629,-175.75,67.7
246,-219.97,84,-0.01386,15.33228,1.38629,-176.91,67.9
247,-265.4,119,-0.01386,23.14484,1.38628,-178.52,68.2
248,-109.55,84,-0.01386,16.46468,1.38629,-178.52,68.4
249,-95.98,82,-0.01386,31.77769,1.38629,-176.84,68.7
250,-103.38,133,-0.01386,23.79251,1.38629,-176.99,69.0
251,-74.14,95,-0.01386,24.26469,1.38628,-176.17,69.2
252,-118.47,81,-0.01386,41.28358,1.38628,-175.56,69.4
