episode,reward,length,loss
95,-101.68469351963896,86,-0.05184048414230347
96,-18.145506072260247,121,-1.0132814645767212
97,-343.98438876658423,132,-1.0745946168899536
98,-244.59779165381963,80,-0.629817008972168
99,-378.723582305087,95,-1.5358974933624268
100,-154.48282846788422,82,-1.5719399452209473
101,-136.31615205918257,115,-0.1714949607849121
102,-132.14679720216589,64,0.8268859386444092
103,-121.34334487986084,115,-0.8383694887161255
104,-89.98420782843868,83,-0.7982099056243896
105,-111.86335067552257,61,-1.1861110925674438
106,-138.0220883108375,81,-3.1399645805358887
107,-144.1217530444364,118,-2.352206230163574
108,-81.8075730302003,72,-0.2717289924621582
109,-103.4133758247381,91,-1.9607596397399902
110,-138.25469251223842,86,-1.0041399002075195
111,-170.77116492802014,114,-0.3640022277832031
112,-143.81570593493336,80,-2.7336857318878174
113,-204.11852554467166,87,-0.9632134437561035
114,-145.520265099739,152,-0.28021156787872314
115,-79.29048187401999,76,0.35730618238449097
116,-91.72491632762396,68,-0.4844186305999756
117,-123.65607094153671,116,-1.8219397068023682
118,-310.8755509641485,140,-0.8311108946800232
119,-69.45824957602608,87,0.6854938268661499
120,-331.46574370306985,112,-0.9424333572387695
121,-92.30237394530785,67,0.21931982040405273
122,-241.2037812312238,69,-0.3348137140274048
123,-247.30792995356236,106,-0.17996001243591309
124,-281.0255478121029,134,-0.9111566543579102
125,-14.165913246719228,72,0.06801843643188477
126,-58.99063059545059,68,-0.5421228408813477
127,-105.9817984314106,105,-1.695183515548706
128,-70.09688331610644,70,0.7991783618927002
129,-279.35395021504917,93,-2.727876663208008
130,-100.3189672453288,77,-2.0032763481140137
131,-69.76932600996716,63,-1.4742255210876465
132,-98.60370379086287,72,-1.9799246788024902
133,-111.08714928485644,137,-0.9607083797454834
134,-140.48764435253977,76,-1.3237502574920654
135,-76.47065691319408,61,1.1291429996490479
136,-88.5457468621927,105,-2.3423197269439697
137,-248.2670254809711,100,-1.4148709774017334
138,-132.5017617963089,131,0.6119725704193115
139,-107.086334759536,87,-1.575387716293335
140,-119.59554560456564,119,-2.057497024536133
141,-143.89131337349772,71,-1.9622933864593506
142,-157.72293291557963,90,-2.2552590370178223
143,-109.1212727633475,124,-1.8378474712371826
144,-77.16822870906927,90,-1.999542474746704
145,-49.917687468874334,63,-2.271688461303711
146,-246.16832679305244,108,-5.315809726715088
147,-160.8226103964074,81,-4.008749961853027
148,-87.8476429487919,78,-1.4669699668884277
149,-129.68257433161904,111,-3.019472599029541
150,-375.46370487387105,103,-1.7880549430847168
151,-282.9822927602966,176,0.6263276934623718
152,-86.04136493344951,78,-0.3320935368537903
153,-175.08868558987785,140,0.6999558210372925
154,-25.490788423967558,91,-2.0421552658081055
155,-279.74300357240196,104,3.365851879119873
156,-14.07487636359879,119,-1.0207676887512207
157,-165.22857450181104,114,-1.7594155073165894
158,-145.37429892402727,84,-0.15607327222824097
